STYLE;COLOUR;BOX;SIZES;ASSORTMENT;BAR CODE;PROVIDER;
GOAL                ;EXP       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276032980230KR ;995       ;
GOAL                ;EXP       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276032980230KR ;995       ;
GOAL                ;EXP       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276032980230KR ;995       ;
GOAL                ;EXP       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276032980230KR ;995       ;
GOAL                ;EXP       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276032980230KR ;995       ;
GOAL                ;EXP       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276032980230KR ;995       ;
GOAL                ;EXP       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276032980230KR ;995       ;
GOAL                ;EXP       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276032980230KR ;995       ;
GOAL                ;EXP       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276032980230KR ;995       ;
GOAL                ;EXP       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276032980230KR ;995       ;
GOAL                ;EXP       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276032980230KR ;995       ;
GOAL                ;EXP       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276032980230KR ;995       ;
GOAL                ;MOC       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034010210KR ;995       ;
GOAL                ;MOC       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034010210KR ;995       ;
GOAL                ;MOC       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034010210KR ;995       ;
GOAL                ;MOC       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034010210KR ;995       ;
GOAL                ;MOC       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034010210KR ;995       ;
GOAL                ;MOC       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034010210KR ;995       ;
GOAL                ;MOC       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034010210KR ;995       ;
GOAL                ;MOC       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034010210KR ;995       ;
GOAL                ;MOC       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034010210KR ;995       ;
GOAL                ;MOC       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034010210KR ;995       ;
GOAL                ;MOC       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034010210KR ;995       ;
GOAL                ;MOC       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034010210KR ;995       ;
2003                ;BGE       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034250100KR ;995       ;
2003                ;BGE       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034250100KR ;995       ;
2003                ;BGE       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034250100KR ;995       ;
2003                ;BGE       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034250100KR ;995       ;
2003                ;BGE       ;KR ;36 37 38 39 40 41                       ;1 1 2 2 1 1 008                         ;017460333276034250100KR ;995       ;
